Sample,,formate Results,acetate Results,propanoate Results,butyrate Results,isovalerate Results,lactic acid Results,succinate Results
Acq. Date-Time,Data File,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.
05.12.21 22:36,3_1.D,5995,306724,4241,519,13369,13012,4265
05.12.21 22:55,3_7.D,7418,397193,5077,628,18693,68835,16084
05.12.21 23:13,1_8.D,6802,10932,4904,450,21583,139,1530
05.12.21 23:31,2_8.D,7491,280845,5178,2061,17753,107,32114
05.12.21 23:50,2_1.D,7475,254849,5248,24,18433,70160,19010
5/13/2021 12:08 AM,3_4.D,11618,349166,5019,35,18894,113033,31891
5/13/2021 12:26 AM,2_3.D,7393,357552,5197,1962,18944,132,11085
5/13/2021 1:03 AM,4_5.D,7623,218806,5270,493,18111,76767,6921
5/13/2021 1:39 AM,3_3.D,7004,330449,4997,576,17803,12938,3452
5/13/2021 1:58 AM,2_10.D,7585,501130,5055,2254,17812,2470,9298
5/13/2021 2:16 AM,2_5.D,7716,344432,5323,2066,18738,122,25523
5/13/2021 2:34 AM,3_2.D,6849,303981,5195,557,19155,33941,7981
5/13/2021 2:53 AM,4_8.D,6958,255743,5330,25,18253,68016,3309
5/13/2021 3:11 AM,1_10.D,6718,10482,5178,488,19846,123,1782
5/13/2021 3:29 AM,3_6.D,6906,415893,5260,624,18284,31167,15565
5/13/2021 3:47 AM,2_7.D,7099,369346,5178,1464,19004,15246,12141
5/13/2021 4:06 AM,6_6.D,7537,450714,5625,678,18972,55744,17970
5/13/2021 4:24 AM,1_1.D,7409,12847,5465,526,20094,161,1385
5/13/2021 4:42 AM,6_1.D,10106,367933,5113,554,19279,39744,10759
5/13/2021 5:37 AM,4_1.D,9821,149730,5645,470,18165,33523,1121
5/13/2021 5:56 AM,4_9.D,6085,121546,4917,428,17569,23687,1590
5/13/2021 6:14 AM,3_9.D,6640,258766,5027,519,18392,90454,28745
5/13/2021 6:32 AM,3_5.D,6916,355933,5139,621,19925,82077,28551
5/13/2021 6:51 AM,4_2.D,7064,163908,5065,491,18801,98418,2866
5/13/2021 7:09 AM,4_4.D,6689,105232,5133,434,17992,52573,1833
5/13/2021 7:27 AM,4_6.D,6774,153451,5172,454,18777,60447,1550
5/13/2021 7:45 AM,6_10.D,6835,367827,4945,524,18246,18927,7688
5/13/2021 8:04 AM,2_6.D,6688,269990,4731,2224,16426,79,12961
5/13/2021 8:22 AM,1_7.D,6769,10403,5098,474,19701,121,794
5/13/2021 8:40 AM,4_7.D,7440,162572,5538,482,19620,74680,3377
5/13/2021 8:59 AM,2_9.D,6637,274357,4936,1222,16800,137,4501
5/13/2021 9:35 AM,4_10.D,6969,348956,4929,1215,18293,1595,15686
5/13/2021 9:53 AM,4_3.D,6435,208494,4840,432,18009,16087,3227
5/13/2021 10:12 AM,1_6.D,6402,8660,5051,438,18743,101,519
5/13/2021 10:30 AM,1_2.D,6872,12359,5001,474,19821,91,1138
5/13/2021 10:48 AM,1_3.D,6873,13369,5116,493,19564,192,1531
5/13/2021 11:07 AM,1_5.D,6772,8373,5154,444,17898,77,523
5/13/2021 11:25 AM,1_4.D,7936,15859,5139,444,18940,1739,685
5/13/2021 11:43 AM,2_4.D,6911,279762,5013,1997,19076,129,11981
5/17/2021 8:34 PM,1_9.D,7069,10424,5539,48,16705,94,554
5/17/2021 9:11 PM,9_6.D,5327,154272,4151,1170,12938,34,2449
5/17/2021 9:29 PM,11_3.D,7019,324503,5404,1210,17737,83,6038
5/17/2021 9:47 PM,11_10.D,6177,263456,5206,424,16520,53855,7407
5/17/2021 8:52 PM,7_6.D,7366,343099,5803,478,16766,124,3929
